index	Model	Accuracy	AUC	Recall	Prec.	F1	Kappa	MCC	TT (Sec)
rf	Random Forest Classifier	0.8674	0.9061	0.6935	0.7167	0.7046	0.6192	0.6195	0.753
xgboost	Extreme Gradient Boosting	0.8574	0.9052	0.7027	0.6813	0.6915	0.5988	0.5992	1.844
et	Extra Trees Classifier	0.8573	0.8801	0.6527	0.7005	0.6756	0.5842	0.585	0.923
catboost	CatBoost Classifier	0.8542	0.906	0.709	0.6707	0.6889	0.5938	0.5945	13.729
dt	Decision Tree Classifier	0.8479	0.8174	0.6692	0.6656	0.6672	0.5687	0.5688	0.212
lightgbm	Light Gradient Boosting Machine	0.8449	0.8955	0.7007	0.6478	0.6728	0.5714	0.5725	0.28
knn	K Neighbors Classifier	0.7842	0.8449	0.7231	0.5193	0.6043	0.4615	0.4736	0.57
gbc	Gradient Boosting Classifier	0.7723	0.829	0.6818	0.5006	0.577	0.4263	0.4361	0.823
dummy	Dummy Classifier	0.7722	0.5	0.0	0.0	0.0	0.0	0.0	0.156
ada	Ada Boost Classifier	0.7148	0.7841	0.6668	0.4207	0.5154	0.3278	0.3458	0.347
lr	Logistic Regression	0.6973	0.7704	0.6997	0.4048	0.5125	0.315	0.3404	0.943
svm	SVM - Linear Kernel	0.695	0.0	0.706	0.407	0.513	0.3155	0.3438	0.311
lda	Linear Discriminant Analysis	0.6916	0.7645	0.7031	0.3993	0.5091	0.3083	0.335	0.432
ridge	Ridge Classifier	0.6911	0.0	0.6993	0.3983	0.5073	0.3061	0.3323	0.189
qda	Quadratic Discriminant Analysis	0.5381	0.5224	0.4936	0.2549	0.3107	0.0373	0.0457	0.353
nb	Naive Bayes	0.3894	0.5842	0.9302	0.2628	0.4098	0.0845	0.1698	0.183
