index	parameter_value
boosting_type	gbdt
class_weight	
colsample_bytree	1.0
importance_type	split
learning_rate	0.04144506302705949
max_depth	-1
min_child_samples	13
min_child_weight	0.001
min_split_gain	0.03235571512573611
n_estimators	268
n_jobs	-1
num_leaves	119
objective	
random_state	123456
reg_alpha	1.0325340954850423e-09
reg_lambda	0.00012470468815033338
silent	warn
subsample	1.0
subsample_for_bin	200000
subsample_freq	0
feature_fraction	0.9965941043203894
bagging_fraction	0.6897099664559665
bagging_freq	6
