index	Model	MAE	MSE	RMSE	R2	RMSLE	MAPE	TT (Sec)
lightgbm	Light Gradient Boosting Machine	17.7424	556.0196	23.5378	0.3788	0.6532	0.8861	0.032
catboost	CatBoost Regressor	17.8769	557.77	23.5633	0.3772	0.6518	0.8688	2.593
xgboost	Extreme Gradient Boosting	17.4074	569.2234	23.813	0.3622	0.6422	0.7971	0.223
rf	Random Forest Regressor	17.3149	571.2084	23.8422	0.3602	0.6415	0.8165	0.221
gbr	Gradient Boosting Regressor	20.6768	665.1812	25.7463	0.2583	0.7139	1.0936	0.061
knn	K Neighbors Regressor	20.001	691.0673	26.254	0.2264	0.703	0.9547	0.017
et	Extra Trees Regressor	18.3394	707.7372	26.5448	0.2051	0.6919	0.7626	0.239
ridge	Ridge Regression	22.7462	792.0037	28.1031	0.1166	0.759	1.2128	0.008
br	Bayesian Ridge	23.0186	795.4871	28.1701	0.1127	0.7639	1.2344	0.011
huber	Huber Regressor	22.3771	824.8616	28.6695	0.0806	0.7725	1.2738	0.07
omp	Orthogonal Matching Pursuit	23.4178	824.4396	28.6771	0.0804	0.7708	1.2578	0.008
dt	Decision Tree Regressor	19.6344	820.4137	28.6199	0.0765	0.7711	0.845	0.009
ada	AdaBoost Regressor	24.6365	834.8036	28.8672	0.0676	0.7522	1.1618	0.032
lasso	Lasso Regression	24.386	849.888	29.1186	0.0524	0.7804	1.2906	0.19
en	Elastic Net	24.6827	864.0173	29.3594	0.0368	0.7839	1.2978	0.008
dummy	Dummy Regressor	25.2945	902.7573	30.0105	-0.0064	0.7913	1.3141	0.007
par	Passive Aggressive Regressor	24.5281	972.9552	31.0554	-0.0794	0.7963	1.2954	0.01
lr	Linear Regression	177.6916	31789109.2428	2425.3513	-33574.4718	0.7879	2.9711	0.457
